open_time,pair,base,quote,binance_open,binance_high,binance_low,binance_close,binance_volume,coinbase_open,coinbase_high,coinbase_low,coinbase_close,coinbase_volume,best_exchange,profit,profit_percentage
2025-08-08 00:00:00,SOL-USDT,SOL,USDT,175.37000000,175.37000000,174.87000000,174.90000000,5623.06400000,175.240000000000009,175.240000000000009,174.919999999999987,174.919999999999987,3.985,coinbase,0.02000000,0.01
2025-08-08 00:01:00,SOL-USDT,SOL,USDT,174.91000000,175.20000000,174.91000000,175.05000000,1659.88700000,174.919999999999987,174.919999999999987,174.919999999999987,174.919999999999987,0.0,binance,0.13000000,0.07
2025-08-08 00:02:00,SOL-USDT,SOL,USDT,175.06000000,175.15000000,175.06000000,175.08000000,2182.76300000,175.080000000000013,175.180000000000007,175.080000000000013,175.180000000000007,5.708,coinbase,0.10000000,0.06
2025-08-08 00:03:00,SOL-USDT,SOL,USDT,175.09000000,175.26000000,175.08000000,175.26000000,2533.32300000,175.180000000000007,175.180000000000007,175.180000000000007,175.180000000000007,0.0,binance,0.08000000,0.05
2025-08-08 00:04:00,SOL-USDT,SOL,USDT,175.27000000,175.28000000,174.65000000,174.75000000,3604.01100000,175.199999999999989,175.199999999999989,174.72999999999999,174.72999999999999,1.437,binance,0.02000000,0.01
2025-08-08 00:05:00,SOL-USDT,SOL,USDT,174.75000000,174.80000000,174.27000000,174.65000000,8475.48400000,174.370000000000005,174.75,174.27000000000001,174.75,39.805,coinbase,0.10000000,0.06
2025-08-08 00:06:00,SOL-USDT,SOL,USDT,174.66000000,174.81000000,174.62000000,174.66000000,4224.88900000,174.77000000000001,174.819999999999993,174.719999999999999,174.819999999999993,11.623,coinbase,0.16000000,0.09
2025-08-08 00:07:00,SOL-USDT,SOL,USDT,174.65000000,174.91000000,174.65000000,174.90000000,2229.82900000,174.819999999999993,174.819999999999993,174.819999999999993,174.819999999999993,0.0,binance,0.08000000,0.05
2025-08-08 00:08:00,SOL-USDT,SOL,USDT,174.89000000,174.89000000,174.59000000,174.60000000,3791.15200000,174.740000000000009,174.77000000000001,174.52000000000001,174.52000000000001,23.237,binance,0.08000000,0.05
2025-08-08 00:09:00,SOL-USDT,SOL,USDT,174.59000000,174.59000000,174.40000000,174.45000000,3485.14400000,174.52000000000001,174.52000000000001,174.52000000000001,174.52000000000001,0.0,coinbase,0.07000000,0.04
2025-08-08 00:10:00,SOL-USDT,SOL,USDT,174.45000000,174.70000000,174.45000000,174.61000000,1022.53800000,174.610000000000014,175.050000000000011,174.610000000000014,175.050000000000011,15.03,coinbase,0.44000000,0.25
2025-08-08 00:11:00,SOL-USDT,SOL,USDT,174.60000000,174.79000000,174.58000000,174.73000000,900.49600000,175.050000000000011,175.050000000000011,175.050000000000011,175.050000000000011,0.0,coinbase,0.32000000,0.18
